0	0	1.692569e+02	0.000000e+00
1	-1	0.000000e+00	0.000000e+00
1	0	0.000000e+00	0.000000e+00
1	1	-9.860730e+01	-1.414991e+02
2	-2	0.000000e+00	0.000000e+00
2	-1	0.000000e+00	0.000000e+00
2	0	0.000000e+00	0.000000e+00
2	1	0.000000e+00	0.000000e+00
2	2	-3.408829e+01	1.235887e+02
3	-3	0.000000e+00	0.000000e+00
3	-2	0.000000e+00	0.000000e+00
3	-1	0.000000e+00	0.000000e+00
3	0	0.000000e+00	0.000000e+00
3	1	0.000000e+00	0.000000e+00
3	2	0.000000e+00	0.000000e+00
3	3	6.217561e+01	-4.620223e+01
4	-4	0.000000e+00	0.000000e+00
4	-3	0.000000e+00	0.000000e+00
4	-2	0.000000e+00	0.000000e+00
4	-1	0.000000e+00	0.000000e+00
4	0	0.000000e+00	0.000000e+00
4	1	0.000000e+00	0.000000e+00
4	2	0.000000e+00	0.000000e+00
4	3	0.000000e+00	0.000000e+00
4	4	-4.849564e+01	1.167605e+01
