name,utc,mjd,ra,dec,dm,snr,width,fluence,z_est
FRB20190118A,2019-01-18 00:00:00,58501,253.31,11.55,225.10795,183.4,0.00197,18.0,0.22510795
FRB20190121A,2019-01-21 00:00:00,58504,354.74,78.6,425.3534,45.8,0.00786,10.8,0.42535340000000005
FRB20190122B,2019-01-22 00:00:00,58505,2.53,35.12,469.565,9.6,0.0059,1.75,0.469565
FRB20190122C,2019-01-22 00:00:00,58505,200.6,17.57,689.902,110.7,0.01475,47.0,0.689902
FRB20190122C,2019-01-22 00:00:00,58505,200.6,17.57,689.902,110.7,0.01475,47.0,0.689902
FRB20190122C,2019-01-22 00:00:00,58505,200.6,17.57,689.902,110.7,0.01475,47.0,0.689902
FRB20190122C,2019-01-22 00:00:00,58505,200.6,17.57,689.902,110.7,0.01475,47.0,0.689902
FRB20190122C,2019-01-22 00:00:00,58505,200.6,17.57,689.902,110.7,0.01475,47.0,0.689902
FRB20190122C,2019-01-22 00:00:00,58505,200.6,17.57,689.902,110.7,0.01475,47.0,0.689902
FRB20190122A,2019-01-22 00:00:00,58505,349.56,37.5,1231.21,19.8,0.04424,5.7,1.2312100000000001
FRB20190124A,2019-01-24 00:00:00,58507,50.46,51.58,1275.853,39.5,0.02359,13.4,1.2758530000000001
FRB20190124B,2019-01-24 00:00:00,58507,214.69,28.8,441.3838,41.1,0.01475,11.7,0.4413838
FRB20190124C,2019-01-24 00:00:00,58507,217.17,28.38,303.644,148.1,0.01376,13.7,0.303644
FRB20190124C,2019-01-24 00:00:00,58507,217.17,28.38,303.644,148.1,0.01376,13.7,0.303644
FRB20190124D,2019-01-24 00:00:00,58507,237.26,81.23,340.12,13.4,0.00492,1.9,0.34012
FRB20190124E,2019-01-24 00:00:00,58507,297.75,20.57,617.79,17.4,0.01868,7.3,0.61779
FRB20190124F,2019-01-24 00:00:00,58507,338.92,5.3,254.7903,60.2,0.00197,6.4,0.2547903
FRB20190125A,2019-01-25 00:00:00,58508,45.73,27.81,564.701,12.8,0.01376,2.6,0.564701
FRB20190125B,2019-01-25 00:00:00,58508,231.45,50.54,178.238,26.2,0.00688,4.7,0.178238
FRB20190126A,2019-01-26 00:00:00,58509,29.5031258,65.7167542,350.0017,27.8,0.00688,3.6,0.3500017
FRB20190127B,2019-01-27 00:00:00,58510,150.92,83.56,663.028,18.8,0.06783,11.4,0.6630280000000001
FRB20190128A,2019-01-28 00:00:00,58511,21.8,24.67,696.117,16.5,0.00688,2.0,0.696117
FRB20190128B,2019-01-28 00:00:00,58511,127.44,23.29,248.2302,21.4,0.00197,1.64,0.24823019999999998
FRB20190128C,2019-01-28 00:00:00,58511,69.8,78.94,310.622,17.5,0.01573,5.9,0.310622
FRB20190128D,2019-01-28 00:00:00,58511,283.32,17.44,430.231,15.5,0.00492,3.6,0.430231
FRB20190129A,2019-01-29 00:00:00,58512,45.06,21.42,484.761,18.8,0.00885,5.0,0.484761
FRB20190130A,2019-01-30 00:00:00,58513,25.64,13.16,1367.461,12.6,0.01475,4.4,1.367461
FRB20190130B,2019-01-30 00:00:00,58513,172.11,16.05,989.0307,65.4,0.00393,2.95,0.9890307
FRB20190131E,2019-01-31 00:00:00,58514,195.65,80.92,279.8006,50.7,0.00098,5.1,0.27980059999999995
FRB20190131D,2019-01-31 00:00:00,58514,57.46,22.75,642.1218,48.9,0.00197,6.8,0.6421218
FRB20190131D,2019-01-31 00:00:00,58514,57.46,22.75,642.1218,48.9,0.00197,6.8,0.6421218
FRB20190131C,2019-01-31 00:00:00,58514,166.45,10.43,507.7618,21.7,0.00098,2.1,0.5077618
FRB20190131B,2019-01-31 00:00:00,58514,354.72,11.71,1805.729,17.1,0.00197,3.3,1.8057290000000001
FRB20190201B,2019-02-01 00:00:00,58515,118.2,55.58,749.176,30.8,0.00295,2.3,0.7491760000000001
FRB20190201A,2019-02-01 00:00:00,58515,64.03,84.84,242.0038,15.4,0.00098,3.1,0.24200380000000002
FRB20190202B,2019-02-02 00:00:00,58516,114.32,32.45,464.906,26.6,0.00098,2.7,0.464906
FRB20190202A,2019-02-02 00:00:00,58516,344.2,17.1,307.3605,236.3,0.00197,95.0,0.3073605
FRB20190203B,2019-02-03 00:00:00,58517,130.64,61.89,582.2248,12.6,0.00295,0.93,0.5822248
FRB20190203A,2019-02-03 00:00:00,58517,133.68,70.82,420.5727,61.9,0.00393,4.0,0.4205727
FRB20190203C,2019-02-03 00:00:00,58517,196.01,2.48,370.462,12.5,0.00393,4.4,0.370462
FRB20190204A,2019-02-04 00:00:00,58518,161.33,61.53,449.639,13.8,0.00786,1.5,0.449639
FRB20190204B,2019-02-04 00:00:00,58518,255.92,75.87,1464.9393,37.1,0.00295,4.4,1.4649393
FRB20190205A,2019-02-05 00:00:00,58519,342.22,83.37,695.389,18.6,0.00295,1.7,0.695389
FRB20190206C,2019-02-06 00:00:00,58520,200.45,74.39,1043.002,20.2,0.0059,3.8,1.043002
FRB20190206B,2019-02-06 00:00:00,58520,49.76,79.5,352.52,17.7,0.01966,9.6,0.35252
FRB20190206A,2019-02-06 00:00:00,58520,244.85,9.36,188.3364,43.5,0.0059,9.1,0.1883364
FRB20190208B,2019-02-08 00:00:00,58522,91.0,80.88,714.22009,165.2,0.00098,14.3,0.71422009
FRB20190208C,2019-02-08 00:00:00,58522,141.55,83.56,238.3921,31.4,0.00098,1.74,0.2383921
FRB20190208A,2019-02-08 00:00:00,58522,283.52,46.96,579.843,31.2,0.03342,4.9,0.579843
FRB20190208A,2019-02-08 00:00:00,58522,283.52,46.96,579.843,31.2,0.03342,4.9,0.579843
FRB20190208A,2019-02-08 00:00:00,58522,283.52,46.96,579.843,31.2,0.03342,4.9,0.579843
FRB20190208A,2019-02-08 00:00:00,58522,283.52,46.96,579.843,31.2,0.03342,4.9,0.579843
FRB20190209A,2019-02-09 00:00:00,58523,144.32,77.67,424.786,19.6,0.00492,3.9,0.424786
FRB20190210B,2019-02-10 00:00:00,58524,104.18,23.7,624.1879,66.0,0.00295,5.3,0.6241879
FRB20190210C,2019-02-10 00:00:00,58524,295.75,89.1,643.3669,27.3,0.00197,3.6,0.6433669
FRB20190210A,2019-02-10 00:00:00,58524,144.32,77.67,426.12,21.7,0.0118,1.81,0.42612
FRB20190210D,2019-02-10 00:00:00,58524,307.8,55.46,359.1477,36.0,0.00197,2.5,0.35914769999999996
FRB20190210E,2019-02-10 00:00:00,58524,313.65,86.67,580.58,15.5,0.00197,1.45,0.5805800000000001
FRB20190211A,2019-02-11 00:00:00,58525,67.06,68.64,1188.256,27.8,0.00393,5.8,1.188256
FRB20190211B,2019-02-11 00:00:00,58525,299.62,61.37,260.7,18.4,0.00098,1.35,0.2607
FRB20190212B,2019-02-12 00:00:00,58526,139.99,52.11,600.1866,41.6,0.00295,3.7,0.6001866
FRB20190212C,2019-02-12 00:00:00,58526,172.57,28.14,1016.45,33.2,0.02064,12.2,1.01645
FRB20190212D,2019-02-12 00:00:00,58526,178.83,66.72,1139.765,18.4,0.02163,5.7,1.1397650000000001
FRB20190212A,2019-02-12 00:00:00,58526,276.14,81.43,301.784,15.7,0.0059,3.1,0.301784
FRB20190213A,2019-02-13 00:00:00,58527,31.72,20.08,651.06,17.5,0.01475,2.3,0.65106
FRB20190213C,2019-02-13 00:00:00,58527,64.26,45.0,357.0634,11.5,0.00197,1.09,0.3570634
FRB20190213B,2019-02-13 00:00:00,58527,276.14,81.43,301.3128,23.2,0.00295,4.2,0.3013128
FRB20190213B,2019-02-13 00:00:00,58527,276.14,81.43,301.3128,23.2,0.00295,4.2,0.3013128
FRB20190213D,2019-02-13 00:00:00,58527,336.45,52.71,1346.8476,25.0,0.00197,2.2,1.3468476
FRB20190214A,2019-02-14 00:00:00,58528,96.09,66.24,497.68,16.7,0.02359,8.8,0.49768
FRB20190214C,2019-02-14 00:00:00,58528,218.87,19.36,533.112,24.4,0.00688,5.2,0.5331119999999999
FRB20190215B,2019-02-15 00:00:00,58529,335.04,45.34,274.6295,61.9,0.00197,5.6,0.2746295
FRB20190216A,2019-02-16 00:00:00,58530,256.33,68.28,1282.37,77.3,0.12288,47.0,1.2823699999999998
FRB20190217A,2019-02-17 00:00:00,58531,94.88,43.11,798.1092,20.7,0.00786,1.19,0.7981092
FRB20190217B,2019-02-17 00:00:00,58531,22.58,26.95,846.212,16.7,0.02654,6.0,0.846212
FRB20190218A,2019-02-18 00:00:00,58532,184.05,56.42,1285.129,16.6,0.00295,1.65,1.285129
FRB20190218B,2019-02-18 00:00:00,58532,268.7,17.93,547.868,19.8,0.01769,5.9,0.547868
FRB20190218C,2019-02-18 00:00:00,58532,156.96,77.95,319.32387,155.5,0.00098,31.0,0.31932387
FRB20190219A,2019-02-19 00:00:00,58533,105.78,43.13,657.1942,29.8,0.00393,0.96,0.6571942000000001
FRB20190219B,2019-02-19 00:00:00,58533,246.3,57.92,1681.11,42.8,0.01081,14.4,1.6811099999999999
FRB20190219C,2019-02-19 00:00:00,58533,349.67,49.21,806.688,12.4,0.00492,1.96,0.806688
FRB20190220A,2019-02-20 00:00:00,58534,237.21,74.16,216.12,17.6,0.00197,0.68,0.21612
FRB20190221A,2019-02-21 00:00:00,58535,132.6,9.9,223.806,22.1,0.00295,2.33,0.223806
FRB20190221B,2019-02-21 00:00:00,58535,286.77,27.86,393.124,15.3,0.00688,5.6,0.39312400000000003
FRB20190221C,2019-02-21 00:00:00,58535,316.15,54.67,2042.3,26.4,0.01475,7.1,2.0423
FRB20190221D,2019-02-21 00:00:00,58535,24.81,60.93,473.7873,13.0,0.00197,1.13,0.4737873
FRB20190222B,2019-02-22 00:00:00,58536,160.69,19.62,497.619,19.9,0.02163,4.4,0.49761900000000003
FRB20190222C,2019-02-22 00:00:00,58536,239.18,40.03,524.0071,29.0,0.00197,0.83,0.5240071000000001
FRB20190222A,2019-02-22 00:00:00,58536,313.06,69.83,460.169,92.4,0.00885,11.8,0.460169
FRB20190222D,2019-02-22 00:00:00,58536,313.9,26.57,895.2976,12.6,0.00098,0.86,0.8952976
FRB20190223A,2019-02-23 00:00:00,58537,64.72,87.65,389.2365,20.5,0.00393,1.58,0.3892365
FRB20190223B,2019-02-23 00:00:00,58537,311.62,60.56,536.5143,12.5,0.00197,0.84,0.5365143
FRB20190224A,2019-02-24 00:00:00,58538,60.53,83.39,818.4,28.6,0.01671,8.5,0.8184
FRB20190224B,2019-02-24 00:00:00,58538,268.24,82.57,839.3674,16.2,0.00197,4.5,0.8393674
FRB20190224C,2019-02-24 00:00:00,58538,124.05,19.78,497.4,30.7,0.00786,7.9,0.49739999999999995
FRB20190224D,2019-02-24 00:00:00,58538,331.89,89.05,752.9522,41.9,0.00197,6.1,0.7529522
FRB20190224E,2019-02-24 00:00:00,58538,183.04,61.54,435.8612,71.0,0.00197,4.0,0.4358612
FRB20190226A,2019-02-26 00:00:00,58540,58.83,31.93,601.5727,32.4,0.00098,1.42,0.6015727000000001
FRB20190226B,2019-02-26 00:00:00,58540,273.57,61.81,631.603,13.2,0.01868,2.38,0.6316029999999999
FRB20190226C,2019-02-26 00:00:00,58540,17.46,26.76,827.77,15.9,0.00492,1.41,0.82777
FRB20190227A,2019-02-27 00:00:00,58541,108.41,56.34,394.0388,112.0,0.00393,12.5,0.39403879999999997
FRB20190227B,2019-02-27 00:00:00,58541,220.54,39.8,331.2289,15.9,0.00098,0.71,0.3312289
FRB20190228A,2019-02-28 00:00:00,58542,183.48,22.9,419.0825,109.3,0.03047,35.8,0.41908249999999997
FRB20190228B,2019-02-28 00:00:00,58542,50.01,81.94,1115.2461,60.6,0.02359,66.0,1.1152461
FRB20190301B,2019-03-01 00:00:00,58543,69.5,74.08,621.333,14.9,0.00393,0.85,0.621333
FRB20190301C,2019-03-01 00:00:00,58543,171.83,34.93,802.913,13.6,0.0118,2.32,0.802913
FRB20190301D,2019-03-01 00:00:00,58543,278.72,74.68,1160.692,16.3,0.0059,1.5,1.160692
FRB20190301A,2019-03-01 00:00:00,58543,313.06,69.83,459.5613,53.5,0.0059,8.6,0.4595613
FRB20190301A,2019-03-01 00:00:00,58543,313.06,69.83,459.5613,53.5,0.0059,8.6,0.4595613
FRB20190302A,2019-03-02 00:00:00,58544,34.8,61.34,1034.239,48.7,0.10617,35.0,1.0342390000000001
FRB20190303B,2019-03-03 00:00:00,58545,128.74,66.03,193.50698,265.8,0.00492,42.0,0.19350698
FRB20190303C,2019-03-03 00:00:00,58545,173.24,26.32,1089.655,19.6,0.0059,3.46,1.089655
FRB20190303D,2019-03-03 00:00:00,58545,179.57,70.84,711.151,11.2,0.00295,1.17,0.711151
FRB20190303A,2019-03-03 00:00:00,58545,208.03,48.24,221.667,23.1,0.00393,2.54,0.221667
FRB20190304A,2019-03-04 00:00:00,58546,124.51,74.61,483.727,48.1,0.00295,2.9,0.48372699999999996
FRB20190304B,2019-03-04 00:00:00,58546,204.86,24.19,470.0053,28.8,0.00295,2.22,0.47000529999999996
FRB20190304C,2019-03-04 00:00:00,58546,223.01,26.72,564.991,15.9,0.00295,1.32,0.564991
FRB20190307A,2019-03-07 00:00:00,58549,254.55,9.85,355.337,18.7,0.00688,0.0,0.355337
FRB20190307B,2019-03-07 00:00:00,58549,269.2,38.4,294.001,19.9,0.02261,0.0,0.29400099999999996
FRB20190308C,2019-03-08 00:00:00,58550,188.36,44.39,500.519,39.0,0.02163,4.8,0.500519
FRB20190308C,2019-03-08 00:00:00,58550,188.36,44.39,500.519,39.0,0.02163,4.8,0.500519
FRB20190308B,2019-03-08 00:00:00,58550,38.59,83.62,180.18,21.8,0.00197,1.39,0.18018
FRB20190308B,2019-03-08 00:00:00,58550,38.59,83.62,180.18,21.8,0.00197,1.39,0.18018
FRB20190309A,2019-03-09 00:00:00,58551,278.96,52.41,356.9,12.3,0.00197,0.72,0.3569
FRB20190313B,2019-03-13 00:00:00,58555,101.98,74.13,1191.248,14.8,0.00786,2.74,1.191248
FRB20190313A,2019-03-13 00:00:00,58555,190.53,65.13,364.5,12.4,0.0059,1.48,0.3645
FRB20190316A,2019-03-16 00:00:00,58558,5.23,20.51,515.9273,19.0,0.00197,2.53,0.5159273
FRB20190317A,2019-03-17 00:00:00,58559,87.44,44.66,1157.2595,9.8,0.00197,1.24,1.1572594999999999
FRB20190317B,2019-03-17 00:00:00,58559,101.01,49.73,424.314,11.8,0.00295,1.89,0.424314
FRB20190317C,2019-03-17 00:00:00,58559,125.82,32.07,598.263,18.1,0.02851,7.8,0.598263
FRB20190317F,2019-03-17 00:00:00,58559,236.25,47.05,1118.109,82.3,0.02064,26.0,1.118109
FRB20190317E,2019-03-17 00:00:00,58559,274.37,13.25,800.88,14.9,0.00393,7.3,0.80088
FRB20190318A,2019-03-18 00:00:00,58560,324.11,74.46,419.2661,32.4,0.01278,14.2,0.4192661
FRB20190319A,2019-03-19 00:00:00,58561,113.43,5.72,2039.936,23.7,0.00885,19.4,2.039936
FRB20190320A,2019-03-20 00:00:00,58562,61.6,63.36,614.146,16.0,0.00295,4.4,0.614146
FRB20190320B,2019-03-20 00:00:00,58562,250.4,39.63,489.4949,20.1,0.00295,1.9,0.48949489999999996
FRB20190320C,2019-03-20 00:00:00,58562,254.73,22.38,368.7898,12.9,0.00393,3.14,0.3687898
FRB20190320D,2019-03-20 00:00:00,58562,262.22,59.07,1141.35,16.9,0.03342,11.4,1.1413499999999999
FRB20190320E,2019-03-20 00:00:00,58562,76.64,89.16,299.135,38.8,0.00295,12.3,0.299135
FRB20190322A,2019-03-22 00:00:00,58564,110.75,51.3,1060.118,22.5,0.02359,10.1,1.060118
FRB20190322B,2019-03-22 00:00:00,58564,132.03,73.34,576.982,10.2,0.00295,2.04,0.576982
FRB20190322C,2019-03-22 00:00:00,58564,296.36,70.7,1192.0806,61.9,0.00295,13.0,1.1920806
FRB20190323A,2019-03-23 00:00:00,58565,112.37,34.46,857.5038,14.4,0.00393,2.71,0.8575037999999999
FRB20190323B,2019-03-23 00:00:00,58565,193.22,77.24,789.56311,76.8,0.00098,10.6,0.78956311
FRB20190323C,2019-03-23 00:00:00,58565,199.5,40.07,381.118,12.7,0.00295,1.38,0.381118
FRB20190323D,2019-03-23 00:00:00,58565,56.88,46.93,763.65,12.2,0.01278,2.49,0.7636499999999999
FRB20190325A,2019-03-25 00:00:00,58567,130.41,83.07,359.289,15.6,0.00295,4.6,0.35928899999999997
FRB20190325B,2019-03-25 00:00:00,58567,183.92,30.32,1733.918,11.9,0.00688,3.81,1.7339179999999998
FRB20190325C,2019-03-25 00:00:00,58567,53.85,60.17,797.83,12.3,0.00885,3.83,0.79783
FRB20190326A,2019-03-26 00:00:00,58568,161.9,74.22,283.3113,13.4,0.00098,1.51,0.28331130000000004
FRB20190327A,2019-03-27 00:00:00,58569,281.31,34.28,346.5748,36.4,0.00197,5.2,0.34657479999999996
FRB20190328A,2019-03-28 00:00:00,58570,120.35,59.1,1303.58,9.1,0.00983,2.66,1.30358
FRB20190328B,2019-03-28 00:00:00,58570,199.47,86.85,565.001,10.6,0.00492,2.14,0.565001
FRB20190328C,2019-03-28 00:00:00,58570,73.83,81.96,472.8607,21.6,0.00492,14.9,0.4728607
FRB20190329B,2019-03-29 00:00:00,58571,87.9,76.27,406.0539,24.5,0.0059,0.0,0.4060539
FRB20190329C,2019-03-29 00:00:00,58571,279.79,51.63,1256.3592,27.5,0.00492,0.0,1.2563592000000001
FRB20190329A,2019-03-29 00:00:00,58571,65.54,73.63,188.606,19.3,0.0118,2.24,0.188606
FRB20190330A,2019-03-30 00:00:00,58572,204.09,38.36,508.965,10.7,0.00197,1.14,0.508965
FRB20190330B,2019-03-30 00:00:00,58572,269.41,52.81,668.0927,51.9,0.00197,5.3,0.6680927
FRB20190401A,2019-04-01 00:00:00,58574,196.8,79.91,783.216,24.8,0.01081,8.6,0.783216
FRB20190402A,2019-04-02 00:00:00,58575,178.61,47.1,1291.69,11.5,0.01573,1.34,1.29169
FRB20190403G,2019-04-03 00:00:00,58576,81.74,25.78,865.311,15.8,0.00197,1.59,0.865311
FRB20190403A,2019-04-03 00:00:00,58576,116.33,86.36,518.834,15.2,0.00295,3.19,0.5188339999999999
FRB20190403B,2019-04-03 00:00:00,58576,135.47,1.46,292.473,26.0,0.01081,23.8,0.29247300000000004
FRB20190403C,2019-04-03 00:00:00,58576,249.83,58.7,935.009,12.2,0.00492,1.53,0.935009
FRB20190403D,2019-04-03 00:00:00,58576,326.53,84.29,613.458,9.9,0.00295,1.75,0.613458
FRB20190403E,2019-04-03 00:00:00,58576,220.22,86.54,226.198,57.0,0.01868,76.0,0.226198
FRB20190403F,2019-04-03 00:00:00,58576,43.34,33.14,664.184,16.4,0.01475,7.1,0.664184
FRB20190404A,2019-04-04 00:00:00,58577,143.1,36.9,1353.9007,24.4,0.00492,4.5,1.3539006999999998
FRB20190404B,2019-04-04 00:00:00,58577,259.79,40.0,489.42307,175.1,0.00098,16.3,0.48942307
FRB20190405A,2019-04-05 00:00:00,58578,337.02,20.96,424.884,10.9,0.01376,2.5,0.42488400000000004
FRB20190405B,2019-04-05 00:00:00,58578,236.48,89.16,1113.218,21.4,0.00492,17.5,1.113218
FRB20190406A,2019-04-06 00:00:00,58579,283.52,46.96,580.2254,16.3,0.00295,2.3,0.5802254
FRB20190408A,2019-04-08 00:00:00,58581,262.2,71.6,863.3796,12.9,0.00197,1.51,0.8633796
FRB20190409A,2019-04-09 00:00:00,58582,79.52,6.72,1791.8908,19.7,0.00295,8.7,1.7918908
FRB20190409B,2019-04-09 00:00:00,58582,126.65,63.47,285.633,20.2,0.03047,6.8,0.28563299999999997
FRB20190409C,2019-04-09 00:00:00,58582,252.6,71.62,674.631,12.1,0.00197,2.17,0.674631
FRB20190409D,2019-04-09 00:00:00,58582,336.64,26.95,1300.118,17.3,0.00295,2.74,1.3001179999999999
FRB20190410A,2019-04-10 00:00:00,58583,263.47,-2.37,284.02,13.6,0.00688,5.8,0.28402
FRB20190410B,2019-04-10 00:00:00,58583,265.76,15.17,642.1699,30.8,0.00197,0.45,0.6421699
FRB20190411A,2019-04-11 00:00:00,58584,80.0,83.89,460.5552,9.8,0.00197,1.41,0.4605552
FRB20190411B,2019-04-11 00:00:00,58584,154.03,29.23,1229.581,17.5,0.00393,3.7,1.2295809999999998
FRB20190411C,2019-04-11 00:00:00,58584,9.33,20.5,233.66,50.0,0.00295,9.3,0.23366
FRB20190411C,2019-04-11 00:00:00,58584,9.33,20.5,233.66,50.0,0.00295,9.3,0.23366
FRB20190412A,2019-04-12 00:00:00,58585,243.45,61.87,364.7329,44.3,0.00295,6.9,0.36473289999999997
FRB20190412B,2019-04-12 00:00:00,58585,285.65,19.25,375.75,16.8,0.04227,12.8,0.37575
FRB20190414A,2019-04-14 00:00:00,58587,181.44,38.9,811.981,14.6,0.00492,1.74,0.811981
FRB20190414B,2019-04-14 00:00:00,58587,246.9,57.53,506.489,13.7,0.0118,3.8,0.506489
FRB20190415A,2019-04-15 00:00:00,58588,182.38,71.28,633.681,13.0,0.00688,3.7,0.633681
FRB20190415B,2019-04-15 00:00:00,58588,8.86,54.85,722.993,50.8,0.03539,22.3,0.722993
FRB20190415C,2019-04-15 00:00:00,58588,74.81,34.8,650.182,7.9,0.00492,0.77,0.650182
FRB20190416A,2019-04-16 00:00:00,58589,144.99,33.3,2287.265,14.8,0.00688,2.8,2.2872649999999997
FRB20190416B,2019-04-16 00:00:00,58589,172.19,35.95,575.36,29.1,0.0059,1.47,0.57536
FRB20190417B,2019-04-17 00:00:00,58590,174.87,64.72,1161.2,17.1,0.0462,9.9,1.1612
FRB20190417A,2019-04-17 00:00:00,58590,294.85,59.4,1380.08,26.2,0.01769,5.8,1.38008
FRB20190417C,2019-04-17 00:00:00,58590,45.68,71.26,320.23188,95.1,0.00098,10.8,0.32023187999999997
FRB20190418A,2019-04-18 00:00:00,58591,65.79,16.04,184.5069,26.7,0.00197,2.2,0.1845069
FRB20190419A,2019-04-19 00:00:00,58592,104.98,64.88,439.972,10.8,0.00393,0.77,0.439972
FRB20190419B,2019-04-19 00:00:00,58592,255.27,86.74,165.0752,36.2,0.00197,7.9,0.1650752
FRB20190420B,2019-04-20 00:00:00,58593,94.73,70.12,846.8432,35.5,0.00688,15.1,0.8468432
FRB20190420A,2019-04-20 00:00:00,58593,106.55,55.96,609.0998,25.4,0.00197,3.11,0.6090998
FRB20190420C,2019-04-20 00:00:00,58593,248.1,37.25,629.954,13.2,0.01376,4.13,0.6299539999999999
FRB20190421A,2019-04-21 00:00:00,58594,208.03,48.24,223.641,23.2,0.03047,5.3,0.22364099999999998
FRB20190421A,2019-04-21 00:00:00,58594,208.03,48.24,223.641,23.2,0.03047,5.3,0.22364099999999998
FRB20190421B,2019-04-21 00:00:00,58594,82.49,62.31,392.2475,79.6,0.00295,16.4,0.3922475
FRB20190422B,2019-04-22 00:00:00,58595,158.27,45.67,977.386,10.1,0.01376,1.57,0.977386
FRB20190422A,2019-04-22 00:00:00,58595,48.56,35.15,452.302,29.1,0.02949,9.1,0.45230200000000004
FRB20190422A,2019-04-22 00:00:00,58595,48.56,35.15,452.302,29.1,0.02949,9.1,0.45230200000000004
FRB20190422A,2019-04-22 00:00:00,58595,48.56,35.15,452.302,29.1,0.02949,9.1,0.45230200000000004
FRB20190423A,2019-04-23 00:00:00,58596,179.68,55.25,242.64562,458.5,0.0059,55.4,0.24264562
FRB20190423A,2019-04-23 00:00:00,58596,179.68,55.25,242.64562,458.5,0.0059,55.4,0.24264562
FRB20190423B,2019-04-23 00:00:00,58596,298.58,26.19,584.949,26.6,0.00983,7.0,0.5849489999999999
FRB20190423B,2019-04-23 00:00:00,58596,298.58,26.19,584.949,26.6,0.00983,7.0,0.5849489999999999
FRB20190423C,2019-04-23 00:00:00,58596,349.08,86.97,855.5273,20.4,0.00786,4.37,0.8555273
FRB20190423D,2019-04-23 00:00:00,58596,29.69,84.8,496.455,29.1,0.00885,18.0,0.496455
FRB20190424A,2019-04-24 00:00:00,58597,168.3,63.78,758.672,21.4,0.00098,1.99,0.758672
FRB20190425A,2019-04-25 00:00:00,58598,255.72,21.52,128.15774,229.9,0.00098,31.6,0.12815774
FRB20190425B,2019-04-25 00:00:00,58598,210.12,88.6,1031.7236,21.6,0.00197,3.1,1.0317236
FRB20190426A,2019-04-26 00:00:00,58599,115.04,59.12,340.6624,37.1,0.00197,2.01,0.3406624
FRB20190427A,2019-04-27 00:00:00,58600,78.93,7.77,455.7828,27.5,0.00197,9.5,0.4557828
FRB20190428A,2019-04-28 00:00:00,58601,170.73,23.33,969.4001,45.7,0.00393,7.4,0.9694001
FRB20190429A,2019-04-29 00:00:00,58602,281.09,59.42,470.884,11.2,0.00295,1.83,0.470884
FRB20190429B,2019-04-29 00:00:00,58602,329.93,3.96,295.65,18.2,0.01671,5.0,0.29564999999999997
FRB20190430B,2019-04-30 00:00:00,58603,237.72,62.27,2619.399,12.6,0.02556,1.52,2.619399
FRB20190430A,2019-04-30 00:00:00,58603,77.7,87.01,339.25,14.8,0.01966,7.7,0.33925
FRB20190430C,2019-04-30 00:00:00,58603,277.22,24.92,400.561,32.2,0.00295,5.1,0.400561
FRB20190501B,2019-05-01 00:00:00,58604,261.45,54.36,784.068,29.8,0.0059,3.2,0.784068
FRB20190501B,2019-05-01 00:00:00,58604,261.45,54.36,784.068,29.8,0.0059,3.2,0.784068
FRB20190502A,2019-05-02 00:00:00,58605,165.01,59.95,625.7691,75.8,0.00393,11.5,0.6257691
FRB20190502B,2019-05-02 00:00:00,58605,212.04,64.44,918.6143,66.5,0.00492,10.1,0.9186143
FRB20190502C,2019-05-02 00:00:00,58605,155.6,82.97,396.835,28.5,0.00197,8.3,0.396835
FRB20190515A,2019-05-15 00:00:00,58618,310.15,55.46,450.503,39.3,0.04719,16.8,0.450503
FRB20190515B,2019-05-15 00:00:00,58618,0.83,3.41,822.1887,31.1,0.00492,11.3,0.8221887
FRB20190515C,2019-05-15 00:00:00,58618,31.72,20.08,652.39,20.9,0.01278,5.5,0.65239
FRB20190515D,2019-05-15 00:00:00,58618,67.13,-5.01,426.0611,35.5,0.00492,8.8,0.4260611
FRB20190516B,2019-05-16 00:00:00,58619,167.34,7.37,1235.416,19.4,0.01376,9.9,1.2354159999999998
FRB20190517D,2019-05-17 00:00:00,58620,339.95,41.84,1180.148,12.0,0.01475,5.8,1.180148
FRB20190517B,2019-05-17 00:00:00,58620,65.54,73.63,191.72,14.0,0.01769,4.2,0.19172
FRB20190517C,2019-05-17 00:00:00,58620,87.5,26.62,335.5746,58.3,0.00197,8.7,0.3355746
FRB20190518B,2019-05-18 00:00:00,58621,175.11,20.28,913.7722,16.7,0.00098,2.1,0.9137722
FRB20190518C,2019-05-18 00:00:00,58621,242.01,4.64,444.0795,46.4,0.00295,14.8,0.4440795
FRB20190518D,2019-05-18 00:00:00,58621,174.72,89.31,202.4551,19.3,0.00197,3.0,0.2024551
FRB20190518A,2019-05-18 00:00:00,58621,29.5031258,65.7167542,349.607,10.6,0.00492,1.45,0.349607
FRB20190518E,2019-05-18 00:00:00,58621,29.5031258,65.7167542,350.1451,22.0,0.0059,3.81,0.3501451
FRB20190518G,2019-05-18 00:00:00,58621,94.79,75.52,524.9464,33.6,0.00098,1.76,0.5249464
FRB20190519D,2019-05-19 00:00:00,58622,164.57,42.99,539.771,25.3,0.00197,0.81,0.539771
FRB20190519E,2019-05-19 00:00:00,58622,168.28,41.65,693.8297,30.3,0.00098,1.46,0.6938297
FRB20190519F,2019-05-19 00:00:00,58622,165.63,77.23,797.766,41.0,0.00688,4.0,0.797766
FRB20190519G,2019-05-19 00:00:00,58622,306.68,72.34,430.094,40.9,0.01868,22.0,0.430094
FRB20190519H,2019-05-19 00:00:00,58622,342.99,87.37,1170.8729,57.7,0.00295,6.6,1.1708729
