name,utc,mjd,ra,dec,dm,snr,width,fluence,z_est
FRB20181014B,2018-10-14 00:00:00,58405,78.56,14.66,887.972,26.2,0.00393,1.88,0.887972
FRB20181014C,2018-10-14 00:00:00,58405,117.87,41.59,752.1671,11.1,0.00393,1.48,0.7521671
FRB20181014D,2018-10-14 00:00:00,58405,216.04,-2.93,377.132,13.9,0.00197,18.0,0.377132
FRB20181015A,2018-10-15 00:00:00,58406,175.76,83.58,568.8231,13.3,0.00197,3.4,0.5688230999999999
FRB20181017B,2018-10-17 00:00:00,58408,237.76,78.5,307.369,18.6,0.01278,6.5,0.307369
FRB20181017A,2018-10-17 00:00:00,58408,256.33,68.28,1281.875,22.4,0.03736,16.0,1.281875
FRB20181018B,2018-10-18 00:00:00,58409,336.82,71.91,293.867,51.3,0.00098,7.9,0.29386700000000004
FRB20181018A,2018-10-18 00:00:00,58409,17.03,51.55,1129.449,12.9,0.03146,5.8,1.1294490000000001
FRB20181018C,2018-10-18 00:00:00,58409,67.15,37.57,411.1927,41.7,0.00098,3.3,0.4111927
FRB20181019A,2018-10-19 00:00:00,58410,29.5031258,65.7167542,348.778,27.8,0.00885,10.4,0.34877800000000003
FRB20181019A,2018-10-19 00:00:00,58410,29.5031258,65.7167542,348.778,27.8,0.00885,10.4,0.34877800000000003
FRB20181019B,2018-10-19 00:00:00,58410,37.87,68.18,725.184,10.9,0.00295,2.7,0.7251839999999999
FRB20181019C,2018-10-19 00:00:00,58410,244.7,66.27,501.6356,16.2,0.00197,2.1,0.5016356
FRB20181020A,2018-10-20 00:00:00,58411,322.62,78.83,1112.473,12.2,0.01278,4.9,1.112473
FRB20181022C,2018-10-22 00:00:00,58413,141.56,83.81,528.473,14.2,0.00393,3.2,0.528473
FRB20181022D,2018-10-22 00:00:00,58413,179.18,36.53,514.33426,52.1,0.00197,6.2,0.5143342599999999
FRB20181022E,2018-10-22 00:00:00,58413,221.18,27.13,285.986,18.8,0.00295,2.08,0.28598599999999996
FRB20181025A,2018-10-25 00:00:00,58416,105.78,64.25,592.5644,20.8,0.00197,2.68,0.5925644
FRB20181027A,2018-10-27 00:00:00,58418,131.9,-4.24,727.744,22.3,0.0059,22.0,0.7277440000000001
FRB20181028A,2018-10-28 00:00:00,58419,65.54,73.63,189.1063,98.4,0.03342,22.6,0.1891063
FRB20181028A,2018-10-28 00:00:00,58419,65.54,73.63,189.1063,98.4,0.03342,22.6,0.1891063
FRB20181028A,2018-10-28 00:00:00,58419,65.54,73.63,189.1063,98.4,0.03342,22.6,0.1891063
FRB20181028A,2018-10-28 00:00:00,58419,65.54,73.63,189.1063,98.4,0.03342,22.6,0.1891063
FRB20181028A,2018-10-28 00:00:00,58419,65.54,73.63,189.1063,98.4,0.03342,22.6,0.1891063
FRB20181030C,2018-10-30 00:00:00,58421,309.83,3.99,668.7601,17.0,0.00098,5.5,0.6687601
FRB20181030A,2018-10-30 00:00:00,58421,158.35,73.79,103.396,10.8,0.00197,8.2,0.103396
FRB20181030B,2018-10-30 00:00:00,58421,158.35,73.79,103.6425,32.9,0.00295,6.9,0.1036425
FRB20181030D,2018-10-30 00:00:00,58421,81.79,16.07,289.4422,29.2,0.00295,5.9,0.28944220000000004
FRB20181030E,2018-10-30 00:00:00,58421,135.67,8.89,159.6902,37.7,0.0059,6.3,0.1596902
FRB20181101A,2018-11-01 00:00:00,58423,21.26,53.88,1472.678,41.2,0.03047,10.7,1.4726780000000002
FRB20181102A,2018-11-02 00:00:00,58424,87.22,15.63,414.4649,11.9,0.00098,2.52,0.4144649
FRB20181104A,2018-11-04 00:00:00,58426,29.5031258,65.7167542,349.4388,53.9,0.00295,5.0,0.3494388
FRB20181104B,2018-11-04 00:00:00,58426,29.5031258,65.7167542,350.14,18.6,0.02163,4.4,0.35014
FRB20181104C,2018-11-04 00:00:00,58426,77.05,17.44,580.81762,101.3,0.00098,20.7,0.58081762
FRB20181104C,2018-11-04 00:00:00,58426,77.05,17.44,580.81762,101.3,0.00098,20.7,0.58081762
FRB20181115A,2018-11-15 00:00:00,58437,142.98,56.4,981.613,25.2,0.00492,1.92,0.9816130000000001
FRB20181116A,2018-11-16 00:00:00,58438,36.05,4.52,355.433,35.9,0.00197,5.23,0.355433
FRB20181116B,2018-11-16 00:00:00,58438,232.66,64.94,409.876,25.8,0.00393,1.92,0.40987599999999996
FRB20181117C,2018-11-17 00:00:00,58439,53.21,25.73,1773.7387,36.0,0.00393,3.0,1.7737387
FRB20181117A,2018-11-17 00:00:00,58439,147.73,52.51,959.28,13.5,0.0059,3.1,0.95928
FRB20181117B,2018-11-17 00:00:00,58439,81.09,79.99,538.2,18.9,0.00786,11.0,0.5382
FRB20181117B,2018-11-17 00:00:00,58439,81.09,79.99,538.2,18.9,0.00786,11.0,0.5382
FRB20181118A,2018-11-18 00:00:00,58440,20.65,-6.41,557.4068,13.9,0.00393,10.0,0.5574068
FRB20181118B,2018-11-18 00:00:00,58440,58.28,10.79,422.2771,19.5,0.00393,3.2,0.4222771
FRB20181118C,2018-11-18 00:00:00,58440,65.54,73.63,190.167,17.8,0.00885,1.72,0.190167
FRB20181119B,2018-11-19 00:00:00,58441,299.38,31.12,609.1008,150.9,0.02261,94.0,0.6091008
FRB20181119E,2018-11-19 00:00:00,58441,16.36,60.53,1169.768,11.3,0.00295,2.2,1.169768
FRB20181119D,2018-11-19 00:00:00,58441,82.994575,33.147941,564.367,41.8,0.03637,12.6,0.564367
FRB20181119D,2018-11-19 00:00:00,58441,82.994575,33.147941,564.367,41.8,0.03637,12.6,0.564367
FRB20181119D,2018-11-19 00:00:00,58441,82.994575,33.147941,564.367,41.8,0.03637,12.6,0.564367
FRB20181119A,2018-11-19 00:00:00,58441,190.53,65.13,364.09,21.8,0.02064,3.5,0.36408999999999997
FRB20181119C,2018-11-19 00:00:00,58441,190.1,82.16,284.9594,40.7,0.00098,3.5,0.28495940000000003
FRB20181120B,2018-11-20 00:00:00,58442,29.5031258,65.7167542,349.736,22.1,0.00393,2.74,0.349736
FRB20181120C,2018-11-20 00:00:00,58442,65.54,73.63,191.7,15.1,0.00786,3.7,0.19169999999999998
FRB20181122A,2018-11-22 00:00:00,58444,60.04,55.48,662.821,14.9,0.00295,1.42,0.662821
FRB20181122B,2018-11-22 00:00:00,58444,281.08,85.02,225.75547,122.9,0.00098,22.0,0.22575547
FRB20181123A,2018-11-23 00:00:00,58445,300.76,55.87,798.718,19.7,0.00197,2.5,0.7987179999999999
FRB20181124B,2018-11-24 00:00:00,58446,318.56,29.88,801.6446,33.8,0.00393,4.8,0.8016445999999999
FRB20181124A,2018-11-24 00:00:00,58446,175.98,63.52,1108.532,10.3,0.00492,2.6,1.1085319999999999
FRB20181125A,2018-11-25 00:00:00,58447,147.94,33.93,272.19,34.5,0.01475,3.2,0.27219
FRB20181125A,2018-11-25 00:00:00,58447,147.94,33.93,272.19,34.5,0.01475,3.2,0.27219
FRB20181125A,2018-11-25 00:00:00,58447,147.94,33.93,272.19,34.5,0.01475,3.2,0.27219
FRB20181126A,2018-11-26 00:00:00,58448,262.05,81.17,494.2168,111.0,0.00197,9.4,0.49421679999999996
FRB20181127A,2018-11-27 00:00:00,58449,243.8,25.43,930.317,27.6,0.00393,2.9,0.9303170000000001
FRB20181128A,2018-11-28 00:00:00,58450,73.92,63.22,450.3823,35.7,0.02163,8.1,0.4503823
FRB20181128A,2018-11-28 00:00:00,58450,73.92,63.22,450.3823,35.7,0.02163,8.1,0.4503823
FRB20181128B,2018-11-28 00:00:00,58450,157.22,38.28,456.548,17.2,0.0059,1.95,0.456548
FRB20181128D,2018-11-28 00:00:00,58450,215.62,59.93,146.5012,55.3,0.00197,7.0,0.1465012
FRB20181128C,2018-11-28 00:00:00,58450,268.77,49.71,618.35,22.2,0.01475,3.4,0.6183500000000001
FRB20181128C,2018-11-28 00:00:00,58450,268.77,49.71,618.35,22.2,0.01475,3.4,0.6183500000000001
FRB20181129A,2018-11-29 00:00:00,58451,355.12,44.95,385.9684,34.7,0.00295,3.1,0.3859684
FRB20181129B,2018-11-29 00:00:00,58451,307.56,81.32,405.905,25.7,0.00197,9.5,0.40590499999999996
FRB20181129C,2018-11-29 00:00:00,58451,233.38,40.03,502.2158,23.1,0.00492,3.6,0.5022158
FRB20181130A,2018-11-30 00:00:00,58452,355.19,46.49,220.0896,43.7,0.00098,1.27,0.2200896
FRB20181201A,2018-12-01 00:00:00,58453,214.96,39.27,694.356,43.6,0.12583,18.9,0.694356
FRB20181201B,2018-12-01 00:00:00,58453,273.38,56.31,876.577,17.4,0.00393,2.24,0.876577
FRB20181202A,2018-12-02 00:00:00,58454,351.01,17.36,667.9546,40.6,0.00688,13.7,0.6679546000000001
FRB20181202B,2018-12-02 00:00:00,58454,202.83,64.72,825.8834,20.1,0.00492,4.1,0.8258834
FRB20181202C,2018-12-02 00:00:00,58454,307.13,57.03,557.1604,19.0,0.00786,3.4,0.5571604
FRB20181203A,2018-12-03 00:00:00,58455,33.6,23.57,635.9255,29.4,0.00295,3.6,0.6359255
FRB20181203B,2018-12-03 00:00:00,58455,47.31,24.02,375.3871,35.4,0.00393,4.5,0.3753871
FRB20181203C,2018-12-03 00:00:00,58455,198.48,72.94,2444.57,22.5,0.0118,4.8,2.44457
FRB20181208A,2018-12-08 00:00:00,58460,264.43,62.62,562.777,29.7,0.00492,4.0,0.5627770000000001
FRB20181209A,2018-12-09 00:00:00,58461,98.16,68.69,328.6557,47.4,0.00197,3.2,0.32865570000000005
FRB20181213A,2018-12-13 00:00:00,58465,127.66,73.87,678.672,21.6,0.00295,3.2,0.678672
FRB20181213B,2018-12-13 00:00:00,58465,183.52,53.7,626.593,16.3,0.00492,1.7,0.626593
FRB20181213C,2018-12-13 00:00:00,58465,216.4,47.46,380.736,15.0,0.00295,1.86,0.38073599999999996
FRB20181214A,2018-12-14 00:00:00,58466,70.0,43.07,468.148,45.2,0.00295,0.41,0.468148
FRB20181214B,2018-12-14 00:00:00,58466,138.79,42.15,1120.746,13.3,0.00295,1.23,1.120746
FRB20181214C,2018-12-14 00:00:00,58466,175.93,60.02,632.7849,39.9,0.0059,5.0,0.6327849
FRB20181214D,2018-12-14 00:00:00,58466,178.57,46.71,1177.319,28.5,0.01671,9.0,1.177319
FRB20181214F,2018-12-14 00:00:00,58466,252.62,32.44,2105.76,20.2,0.00885,2.21,2.10576
FRB20181215A,2018-12-15 00:00:00,58467,93.38,39.34,412.632,11.8,0.00492,0.72,0.412632
FRB20181215B,2018-12-15 00:00:00,58467,254.81,47.56,494.0142,29.8,0.00197,2.9,0.4940142
FRB20181216A,2018-12-16 00:00:00,58468,306.28,53.53,542.7376,15.7,0.00197,1.7,0.5427376
FRB20181217A,2018-12-17 00:00:00,58469,290.5,59.8,1177.1666,15.8,0.00295,1.76,1.1771666
FRB20181218A,2018-12-18 00:00:00,58470,5.06,71.35,1874.406,30.8,0.0059,1.59,1.874406
FRB20181218B,2018-12-18 00:00:00,58470,18.04,69.39,753.405,14.9,0.00295,1.8,0.753405
FRB20181218C,2018-12-18 00:00:00,58470,285.98,58.24,384.153,13.5,0.00492,1.73,0.384153
FRB20181219B,2018-12-19 00:00:00,58471,180.79,71.55,1952.166,43.0,0.00492,27.0,1.9521659999999998
FRB20181219C,2018-12-19 00:00:00,58471,17.77,14.11,647.891,27.7,0.00295,0.57,0.647891
FRB20181219A,2018-12-19 00:00:00,58471,73.92,63.22,451.806,16.3,0.01769,4.7,0.451806
FRB20181220A,2018-12-20 00:00:00,58472,346.11,48.43,209.4017,40.1,0.00295,3.0,0.2094017
FRB20181220B,2018-12-20 00:00:00,58472,277.37,84.87,257.7994,24.7,0.00197,3.8,0.2577994
FRB20181221A,2018-12-21 00:00:00,58473,230.58,25.86,316.237,78.8,0.00492,5.8,0.31623700000000005
FRB20181221B,2018-12-21 00:00:00,58473,306.31,80.98,1395.021,52.1,0.00295,3.3,1.395021
FRB20181222A,2018-12-22 00:00:00,58474,29.5031258,65.7167542,348.73651,214.4,0.03539,50.0,0.34873651
FRB20181222A,2018-12-22 00:00:00,58474,29.5031258,65.7167542,348.73651,214.4,0.03539,50.0,0.34873651
FRB20181222A,2018-12-22 00:00:00,58474,29.5031258,65.7167542,348.73651,214.4,0.03539,50.0,0.34873651
FRB20181222A,2018-12-22 00:00:00,58474,29.5031258,65.7167542,348.73651,214.4,0.03539,50.0,0.34873651
FRB20181222B,2018-12-22 00:00:00,58474,90.04,38.55,619.2478,12.7,0.00197,0.83,0.6192478
FRB20181222C,2018-12-22 00:00:00,58474,131.05,68.33,1104.892,17.5,0.00393,2.9,1.104892
FRB20181222D,2018-12-22 00:00:00,58474,188.2,56.16,1417.11,20.2,0.02261,1.23,1.4171099999999999
FRB20181222E,2018-12-22 00:00:00,58474,50.64,86.97,327.9797,36.7,0.00393,5.5,0.3279797
FRB20181222E,2018-12-22 00:00:00,58474,50.64,86.97,327.9797,36.7,0.00393,5.5,0.3279797
FRB20181223A,2018-12-23 00:00:00,58475,29.5031258,65.7167542,349.7096,67.2,0.00885,15.7,0.3497096
FRB20181223A,2018-12-23 00:00:00,58475,29.5031258,65.7167542,349.7096,67.2,0.00885,15.7,0.3497096
FRB20181223B,2018-12-23 00:00:00,58475,174.89,21.59,565.655,21.3,0.00885,4.1,0.565655
FRB20181223C,2018-12-23 00:00:00,58475,181.05,27.58,112.5118,28.3,0.00197,2.84,0.1125118
FRB20181224A,2018-12-24 00:00:00,58476,355.11,44.56,310.20644,104.1,0.00197,3.3,0.31020643999999997
FRB20181224B,2018-12-24 00:00:00,58476,45.36,46.14,781.0087,22.4,0.00885,3.1,0.7810087
FRB20181224C,2018-12-24 00:00:00,58476,115.29,60.28,596.325,26.9,0.02949,9.6,0.596325
FRB20181224D,2018-12-24 00:00:00,58476,182.45,54.85,690.196,12.8,0.00393,1.95,0.690196
FRB20181224E,2018-12-24 00:00:00,58476,239.32,7.32,581.8537,42.1,0.00197,10.3,0.5818537
FRB20181224E,2018-12-24 00:00:00,58476,239.32,7.32,581.8537,42.1,0.00197,10.3,0.5818537
FRB20181225A,2018-12-25 00:00:00,58477,29.5031258,65.7167542,349.619,31.8,0.00688,4.3,0.349619
FRB20181225B,2018-12-25 00:00:00,58477,36.77,88.2,299.2875,27.6,0.00295,7.5,0.29928750000000004
FRB20181226C,2018-12-26 00:00:00,58478,349.05,44.94,409.0184,25.3,0.00393,2.7,0.4090184
FRB20181226A,2018-12-26 00:00:00,58478,29.5031258,65.7167542,349.0107,69.0,0.00983,5.7,0.3490107
FRB20181226A,2018-12-26 00:00:00,58478,29.5031258,65.7167542,349.0107,69.0,0.00983,5.7,0.3490107
FRB20181226D,2018-12-26 00:00:00,58478,120.22,22.16,385.3778,34.7,0.00197,3.0,0.3853778
FRB20181226B,2018-12-26 00:00:00,58478,182.66,12.43,287.0364,176.6,0.00197,52.0,0.2870364
FRB20181226B,2018-12-26 00:00:00,58478,182.66,12.43,287.0364,176.6,0.00197,52.0,0.2870364
FRB20181226B,2018-12-26 00:00:00,58478,182.66,12.43,287.0364,176.6,0.00197,52.0,0.2870364
